timestamp,road_id,vehicle_count,average_speed_kmph,density_pct,travel_time_min,queue_length_m,congestion_level
2026-07-29T00:00:00,R0001,210,40.2,11.9,4.4,10.3,Low
2026-07-29T00:00:00,R0002,236,27.5,14.0,3.7,7.1,Low
2026-07-29T00:00:00,R0003,628,28.2,13.4,9.0,9.8,Low
2026-07-29T00:00:00,R0004,378,43.9,16.2,7.6,10.7,Low
2026-07-29T00:00:00,R0005,165,44.7,11.6,3.4,1.7,Low
2026-07-29T00:00:00,R0006,239,23.6,14.3,10.9,9.9,Low
2026-07-29T00:00:00,R0007,191,36.9,11.7,5.5,8.3,Low
2026-07-29T00:00:00,R0008,138,46.9,13.3,5.3,12.2,Low
2026-07-29T00:00:00,R0009,379,43.4,14.4,1.6,3.8,Low
2026-07-29T00:00:00,R0010,128,22.1,11.9,6.9,6.2,Low
2026-07-29T00:00:00,R0011,616,37.6,14.7,2.4,1.1,Low
2026-07-29T00:00:00,R0012,203,42.5,13.3,3.2,2.4,Low
2026-07-29T00:00:00,R0013,177,40.7,15.4,5.8,6.3,Low
2026-07-29T00:00:00,R0014,313,31.8,12.2,11.6,8.4,Low
2026-07-29T00:00:00,R0015,144,37.5,12.5,2.1,11.0,Low
2026-07-29T00:00:00,R0016,294,41.7,16.1,4.3,13.3,Low
2026-07-29T00:00:00,R0017,229,23.2,16.0,6.2,9.5,Low
2026-07-29T00:00:00,R0018,777,36.3,14.5,2.0,11.3,Low
2026-07-29T00:00:00,R0019,231,76.0,14.0,0.7,6.4,Low
2026-07-29T00:00:00,R0020,317,23.1,15.0,13.5,2.2,Low
2026-07-29T00:00:00,R0021,232,29.4,15.5,11.7,12.7,Low
2026-07-29T00:00:00,R0022,170,72.9,13.5,2.1,13.7,Low
2026-07-29T00:00:00,R0023,173,23.6,12.6,14.9,7.3,Low
2026-07-29T00:00:00,R0024,201,35.9,13.9,8.6,8.6,Low
2026-07-29T00:00:00,R0025,174,41.6,13.0,5.5,4.1,Low
2026-07-29T00:00:00,R0026,171,32.5,11.3,1.8,14.5,Low
2026-07-29T00:00:00,R0027,239,23.1,13.3,15.5,5.2,Low
2026-07-29T00:00:00,R0028,233,23.1,14.6,5.5,14.2,Low
2026-07-29T00:00:00,R0029,439,38.8,13.3,9.4,4.0,Low
2026-07-29T00:00:00,R0030,280,26.9,16.3,12.0,9.1,Low
2026-07-29T00:00:00,R0031,376,37.8,14.6,8.6,1.8,Low
2026-07-29T00:00:00,R0032,644,34.6,16.0,3.6,9.3,Low
2026-07-29T00:00:00,R0033,175,21.8,12.4,2.3,8.2,Low
2026-07-29T00:00:00,R0034,170,70.4,13.4,1.3,2.6,Low
2026-07-29T00:00:00,R0035,209,30.9,13.4,7.3,13.5,Low
2026-07-29T00:00:00,R0036,282,22.3,11.7,16.9,1.5,Low
2026-07-29T00:00:00,R0037,353,38.7,11.4,3.8,9.0,Low
2026-07-29T00:00:00,R0038,148,28.8,12.1,2.3,0.4,Low
2026-07-29T00:00:00,R0039,215,78.3,15.5,1.2,2.0,Low
2026-07-29T00:00:00,R0040,603,23.7,12.5,11.7,13.9,Low
2026-07-29T00:00:00,R0041,202,27.7,13.4,6.3,0.6,Low
2026-07-29T00:00:00,R0042,236,72.7,14.1,1.1,0.4,Low
2026-07-29T00:00:00,R0043,419,27.3,14.2,2.3,11.8,Low
2026-07-29T00:00:00,R0044,228,20.8,12.9,10.7,8.8,Low
2026-07-29T00:00:00,R0045,174,23.9,13.3,11.9,8.2,Low
2026-07-29T00:00:00,R0046,277,61.8,12.7,2.7,4.1,Low
2026-07-29T00:00:00,R0047,484,28.6,15.8,4.8,8.2,Low
2026-07-29T00:00:00,R0048,138,22.4,11.6,10.2,12.5,Low
2026-07-29T00:00:00,R0049,693,42.0,15.3,8.5,3.4,Low
2026-07-29T00:00:00,R0050,397,23.4,15.4,12.7,1.4,Low
2026-07-29T01:00:00,R0001,135,48.5,7.7,3.6,1.3,Low
2026-07-29T01:00:00,R0002,123,38.2,7.3,2.7,0.8,Low
2026-07-29T01:00:00,R0003,383,36.2,8.2,7.0,5.0,Low
2026-07-29T01:00:00,R0004,184,55.2,7.9,6.0,2.4,Low
2026-07-29T01:00:00,R0005,119,57.3,8.4,2.6,11.4,Low
2026-07-29T01:00:00,R0006,119,26.2,7.1,9.8,4.0,Low
2026-07-29T01:00:00,R0007,126,45.2,7.7,4.5,10.2,Low
2026-07-29T01:00:00,R0008,71,51.5,6.8,4.9,5.9,Low
2026-07-29T01:00:00,R0009,231,52.0,8.8,1.3,9.6,Low
2026-07-29T01:00:00,R0010,80,29.2,7.4,5.2,13.4,Low
2026-07-29T01:00:00,R0011,318,44.0,7.6,2.0,6.2,Low
2026-07-29T01:00:00,R0012,113,56.6,7.4,2.4,12.4,Low
2026-07-29T01:00:00,R0013,99,57.4,8.6,4.1,6.0,Low
2026-07-29T01:00:00,R0014,184,38.2,7.2,9.7,5.4,Low
2026-07-29T01:00:00,R0015,100,43.9,8.7,1.8,1.2,Low
2026-07-29T01:00:00,R0016,175,51.3,9.6,3.5,14.8,Low
2026-07-29T01:00:00,R0017,137,28.3,9.6,5.1,9.9,Low
2026-07-29T01:00:00,R0018,451,48.2,8.4,1.5,4.3,Low
2026-07-29T01:00:00,R0019,133,93.1,8.1,0.5,6.2,Low
2026-07-29T01:00:00,R0020,168,26.8,7.9,11.6,8.5,Low
2026-07-29T01:00:00,R0021,138,34.6,9.2,9.9,14.0,Low
2026-07-29T01:00:00,R0022,110,95.5,8.7,1.6,8.3,Low
2026-07-29T01:00:00,R0023,124,25.2,9.0,14.0,12.3,Low
2026-07-29T01:00:00,R0024,99,49.0,6.8,6.3,14.9,Low
2026-07-29T01:00:00,R0025,101,52.7,7.5,4.3,11.5,Low
2026-07-29T01:00:00,R0026,112,38.8,7.4,1.5,1.5,Low
2026-07-29T01:00:00,R0027,127,29.7,7.1,12.1,10.1,Low
2026-07-29T01:00:00,R0028,146,26.4,9.2,4.8,10.1,Low
2026-07-29T01:00:00,R0029,278,46.3,8.4,7.9,10.2,Low
2026-07-29T01:00:00,R0030,144,36.1,8.4,8.9,4.1,Low
2026-07-29T01:00:00,R0031,231,43.5,9.0,7.4,10.4,Low
2026-07-29T01:00:00,R0032,298,46.9,7.4,2.7,11.2,Low
2026-07-29T01:00:00,R0033,103,25.7,7.3,2.0,2.0,Low
2026-07-29T01:00:00,R0034,107,96.1,8.4,0.9,0.7,Low
2026-07-29T01:00:00,R0035,138,35.5,8.8,6.4,7.2,Low
2026-07-29T01:00:00,R0036,227,26.4,9.5,14.3,7.0,Low
2026-07-29T01:00:00,R0037,208,43.3,6.7,3.4,3.9,Low
2026-07-29T01:00:00,R0038,83,37.7,6.8,1.7,6.4,Low
2026-07-29T01:00:00,R0039,115,86.7,8.3,1.1,4.4,Low
2026-07-29T01:00:00,R0040,418,29.2,8.7,9.5,0.8,Low
2026-07-29T01:00:00,R0041,140,36.6,9.3,4.8,8.5,Low
2026-07-29T01:00:00,R0042,136,85.3,8.2,0.9,1.3,Low
2026-07-29T01:00:00,R0043,249,35.6,8.5,1.7,13.8,Low
2026-07-29T01:00:00,R0044,140,26.0,7.9,8.6,10.7,Low
2026-07-29T01:00:00,R0045,99,27.6,7.6,10.3,10.5,Low
2026-07-29T01:00:00,R0046,204,75.6,9.4,2.2,10.1,Low
2026-07-29T01:00:00,R0047,266,38.9,8.7,3.5,4.4,Low
2026-07-29T01:00:00,R0048,80,26.8,6.7,8.6,3.3,Low
2026-07-29T01:00:00,R0049,391,55.7,8.7,6.4,8.9,Low
2026-07-29T01:00:00,R0050,174,28.7,6.8,10.3,4.9,Low
2026-07-29T02:00:00,R0001,192,37.0,10.9,4.8,2.0,Low
2026-07-29T02:00:00,R0002,154,32.4,9.1,3.1,13.8,Low
2026-07-29T02:00:00,R0003,530,28.4,11.3,8.9,6.0,Low
2026-07-29T02:00:00,R0004,270,47.3,11.5,7.0,1.8,Low
2026-07-29T02:00:00,R0005,124,47.9,8.7,3.2,5.3,Low
2026-07-29T02:00:00,R0006,162,21.3,9.7,12.1,8.1,Low
2026-07-29T02:00:00,R0007,196,40.3,12.0,5.1,8.5,Low
2026-07-29T02:00:00,R0008,111,42.7,10.7,5.9,8.2,Low
2026-07-29T02:00:00,R0009,270,46.6,10.2,1.5,5.8,Low
2026-07-29T02:00:00,R0010,104,21.6,9.6,7.1,4.7,Low
2026-07-29T02:00:00,R0011,383,36.6,9.1,2.5,14.8,Low
2026-07-29T02:00:00,R0012,160,45.9,10.5,3.0,13.1,Low
2026-07-29T02:00:00,R0013,144,45.5,12.6,5.2,12.2,Low
2026-07-29T02:00:00,R0014,258,29.7,10.0,12.4,6.0,Low
2026-07-29T02:00:00,R0015,131,38.9,11.3,2.0,4.7,Low
2026-07-29T02:00:00,R0016,169,47.1,9.3,3.8,1.9,Low
2026-07-29T02:00:00,R0017,157,23.5,10.9,6.1,10.5,Low
2026-07-29T02:00:00,R0018,626,39.9,11.7,1.8,7.5,Low
2026-07-29T02:00:00,R0019,191,76.9,11.6,0.6,2.8,Low
2026-07-29T02:00:00,R0020,188,22.4,8.9,13.9,6.6,Low
2026-07-29T02:00:00,R0021,167,32.0,11.1,10.7,2.9,Low
2026-07-29T02:00:00,R0022,116,82.5,9.2,1.9,1.6,Low
2026-07-29T02:00:00,R0023,146,23.1,10.6,15.2,8.1,Low
2026-07-29T02:00:00,R0024,132,35.9,9.1,8.6,1.6,Low
2026-07-29T02:00:00,R0025,148,45.8,11.0,5.0,3.5,Low
2026-07-29T02:00:00,R0026,169,31.8,11.2,1.8,0.6,Low
2026-07-29T02:00:00,R0027,192,23.5,10.7,15.2,3.8,Low
2026-07-29T02:00:00,R0028,158,23.4,9.9,5.4,13.5,Low
2026-07-29T02:00:00,R0029,391,38.1,11.9,9.6,11.0,Low
2026-07-29T02:00:00,R0030,175,31.2,10.2,10.3,7.0,Low
2026-07-29T02:00:00,R0031,244,39.6,9.5,8.2,8.3,Low
2026-07-29T02:00:00,R0032,409,40.6,10.2,3.1,0.3,Low
2026-07-29T02:00:00,R0033,140,21.4,9.9,2.4,11.5,Low
2026-07-29T02:00:00,R0034,145,73.6,11.4,1.2,10.1,Low
2026-07-29T02:00:00,R0035,160,31.8,10.2,7.1,6.8,Low
2026-07-29T02:00:00,R0036,249,24.4,10.4,15.5,3.8,Low
2026-07-29T02:00:00,R0037,285,39.0,9.2,3.7,14.5,Low
2026-07-29T02:00:00,R0038,125,28.5,10.2,2.3,5.1,Low
2026-07-29T02:00:00,R0039,149,72.1,10.7,1.4,9.9,Low
2026-07-29T02:00:00,R0040,609,22.3,12.6,12.5,5.3,Low
2026-07-29T02:00:00,R0041,155,28.7,10.3,6.1,13.2,Low
2026-07-29T02:00:00,R0042,173,74.9,10.4,1.0,9.9,Low
2026-07-29T02:00:00,R0043,308,31.2,10.5,2.0,0.9,Low
2026-07-29T02:00:00,R0044,210,24.1,11.9,9.3,9.7,Low
2026-07-29T02:00:00,R0045,163,21.3,12.5,13.4,7.2,Low
2026-07-29T02:00:00,R0046,242,61.4,11.1,2.7,6.0,Low
2026-07-29T02:00:00,R0047,308,28.8,10.1,4.7,5.9,Low
2026-07-29T02:00:00,R0048,112,23.9,9.4,9.6,3.1,Low
2026-07-29T02:00:00,R0049,407,46.7,9.0,7.6,8.9,Low
2026-07-29T02:00:00,R0050,312,22.8,12.1,13.0,5.2,Low
2026-07-29T03:00:00,R0001,219,41.2,12.4,4.3,8.5,Low
2026-07-29T03:00:00,R0002,238,34.2,14.1,3.0,4.4,Low
