timestamp,temperature_c,humidity_pct,rainfall_mm,visibility_km,wind_speed_kmph,weather_condition
2026-07-29T00:00:00,22.0,78.4,12.5,9.0,8.1,Light Rain
2026-07-29T01:00:00,19.2,58.4,0.0,7.7,20.8,Cloudy
2026-07-29T02:00:00,20.8,73.8,24.1,6.9,13.6,Light Rain
2026-07-29T03:00:00,20.7,52.2,0.2,5.7,26.1,Clear
2026-07-29T04:00:00,22.8,36.6,0.4,4.2,14.2,Cloudy
2026-07-29T05:00:00,22.9,76.2,3.9,9.3,25.2,Heavy Rain
2026-07-29T06:00:00,19.5,61.6,0.9,5.2,21.7,Cloudy
2026-07-29T07:00:00,22.9,83.1,8.6,10.0,4.7,Light Rain
2026-07-29T08:00:00,23.3,49.0,1.0,9.1,5.5,Clear
2026-07-29T09:00:00,25.2,37.0,0.3,9.9,23.6,Clear
2026-07-29T10:00:00,24.7,41.3,0.1,5.4,15.3,Cloudy
2026-07-29T11:00:00,24.9,58.5,8.2,5.0,7.5,Light Rain
2026-07-29T12:00:00,26.7,58.9,0.3,6.0,11.2,Clear
2026-07-29T13:00:00,28.2,38.9,0.2,5.5,12.5,Cloudy
2026-07-29T14:00:00,27.2,59.3,0.2,4.9,12.2,Cloudy
2026-07-29T15:00:00,28.3,39.6,0.9,4.5,15.6,Clear
2026-07-29T16:00:00,28.7,39.1,0.8,7.5,16.1,Cloudy
2026-07-29T17:00:00,24.8,53.7,0.1,5.6,15.7,Clear
2026-07-29T18:00:00,26.7,59.7,0.3,4.3,14.0,Cloudy
2026-07-29T19:00:00,24.8,80.4,12.5,7.4,20.0,Heavy Rain
2026-07-29T20:00:00,25.8,51.1,0.3,9.0,27.7,Cloudy
2026-07-29T21:00:00,24.6,68.0,22.5,5.2,15.7,Heavy Rain
2026-07-29T22:00:00,22.9,84.3,13.1,6.2,24.6,Heavy Rain
2026-07-29T23:00:00,24.6,44.8,0.4,6.7,22.3,Cloudy
2026-07-30T00:00:00,20.8,40.3,1.0,7.4,17.9,Cloudy
2026-07-30T01:00:00,20.1,77.6,13.3,5.4,17.3,Light Rain
2026-07-30T02:00:00,22.4,75.0,5.2,5.1,10.7,Heavy Rain
2026-07-30T03:00:00,18.2,40.5,0.2,9.0,10.9,Cloudy
2026-07-30T04:00:00,18.5,58.9,0.4,6.2,6.1,Clear
2026-07-30T05:00:00,20.9,60.4,0.6,8.8,8.2,Clear
2026-07-30T06:00:00,19.5,61.2,0.2,5.5,10.3,Clear
2026-07-30T07:00:00,23.0,61.1,0.0,8.8,19.1,Clear
2026-07-30T08:00:00,22.0,45.5,0.5,4.6,15.7,Clear
2026-07-30T09:00:00,24.7,36.2,0.9,5.7,9.0,Cloudy
2026-07-30T10:00:00,25.5,49.0,0.5,8.6,7.7,Clear
2026-07-30T11:00:00,25.7,47.9,0.5,7.6,28.0,Clear
2026-07-30T12:00:00,26.0,61.0,21.0,4.2,8.9,Light Rain
2026-07-30T13:00:00,29.5,50.3,0.3,7.7,25.9,Clear
2026-07-30T14:00:00,28.6,36.0,0.1,7.3,14.5,Clear
2026-07-30T15:00:00,33.9,60.6,21.3,4.1,14.8,Light Rain
2026-07-30T16:00:00,27.0,43.4,0.6,5.0,13.1,Clear
2026-07-30T17:00:00,28.0,46.8,0.8,8.5,7.0,Cloudy
2026-07-30T18:00:00,25.7,52.0,0.7,9.6,13.3,Cloudy
2026-07-30T19:00:00,27.1,35.6,0.1,9.0,16.6,Cloudy
2026-07-30T20:00:00,24.0,35.9,0.3,9.8,20.0,Clear
2026-07-30T21:00:00,25.1,43.0,0.9,7.7,20.3,Cloudy
2026-07-30T22:00:00,24.3,61.5,0.9,8.4,10.7,Clear
2026-07-30T23:00:00,21.3,63.9,0.3,4.1,21.2,Clear
2026-07-31T00:00:00,22.5,65.9,24.8,6.0,5.9,Heavy Rain
2026-07-31T01:00:00,22.7,42.8,0.4,6.1,24.0,Clear
2026-07-31T02:00:00,21.1,37.8,0.1,5.0,18.3,Clear
2026-07-31T03:00:00,19.7,64.0,0.2,6.7,16.0,Clear
2026-07-31T04:00:00,19.9,81.3,17.2,8.5,17.9,Light Rain
2026-07-31T05:00:00,18.1,59.5,0.9,8.5,5.3,Clear
2026-07-31T06:00:00,19.7,61.5,0.4,9.4,25.8,Clear
2026-07-31T07:00:00,24.6,55.7,0.3,5.6,8.6,Cloudy
2026-07-31T08:00:00,22.2,59.9,0.4,4.7,21.6,Clear
2026-07-31T09:00:00,22.4,43.6,0.5,7.0,11.2,Clear
2026-07-31T10:00:00,23.0,59.1,5.8,7.3,25.7,Light Rain
2026-07-31T11:00:00,29.0,57.0,0.3,8.0,26.4,Cloudy
2026-07-31T12:00:00,27.2,62.0,0.7,6.4,11.8,Cloudy
2026-07-31T13:00:00,29.4,59.8,0.0,8.8,6.5,Cloudy
2026-07-31T14:00:00,26.2,64.4,0.1,5.3,5.6,Cloudy
2026-07-31T15:00:00,31.6,57.2,0.6,4.2,19.8,Clear
2026-07-31T16:00:00,26.4,52.0,0.2,5.8,26.5,Cloudy
2026-07-31T17:00:00,27.6,89.4,20.8,5.6,27.3,Light Rain
2026-07-31T18:00:00,24.0,36.6,0.1,8.2,15.0,Clear
2026-07-31T19:00:00,24.7,53.4,0.2,5.5,17.9,Clear
2026-07-31T20:00:00,26.7,49.3,0.8,6.1,12.7,Clear
2026-07-31T21:00:00,23.3,44.8,0.8,5.3,6.0,Clear
2026-07-31T22:00:00,20.7,41.6,0.8,6.3,23.4,Cloudy
2026-07-31T23:00:00,17.8,46.5,0.8,6.8,11.3,Clear
